dataset,ablation,model,model_parameters,num_features,features,train_samples,test_samples,mean_pixel_error,median_pixel_error,std_pixel_error,min_pixel_error,max_pixel_error,q25_pixel_error,q75_pixel_error,mean_x_error_pixels,median_x_error_pixels,mean_y_error_pixels,median_y_error_pixels,p90_pixel_error
ExperimentHeadStill,RELATIVE_IRIS_TO_FACE,mlp,"{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.01, 'learning_rate_init': 0.001, 'max_iter': 2000}",4,"left_iris_rel_face_x, left_iris_rel_face_y, right_iris_rel_face_x, right_iris_rel_face_y",400,100,673.3512641464606,486.1169026160535,617.2527932832576,53.30694149858139,2946.7562163707453,248.76914609106066,839.6130387696776,454.39591965692773,256.3162137454883,429.9105236922457,239.94772252540125,1447.6233519725902
ExperimentHeadStill,SQUARED_AND_INTERACTIONS,elasticnet,"{'alpha': 0.01, 'l1_ratio': 0.5, 'max_iter': 2000}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,700.3425251131898,457.68280086656796,574.8611124811266,62.64616048344348,2463.098689599014,315.68435283510814,845.0320599145937,533.9112546493509,351.4521998893109,408.704109134046,258.7589867170026,1637.338143540831
ExperimentHeadStill,SQUARED_AND_INTERACTIONS,ridge,{'alpha': 0.1},14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,735.2937101416055,480.60960266640575,585.3359972265797,42.48435151633199,2262.451953482733,320.65133879529935,921.174282184545,564.3201074662157,366.2500756560777,402.93994385352505,282.11114176162994,1709.6692341304702
ExperimentHeadStill,SQUARED_AND_INTERACTIONS,ridge,{'alpha': 1.0},14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,741.3262911503942,479.95325489902797,589.5260517369427,46.31973875959684,2189.8236220871513,321.87514661652443,928.1115157171641,583.4197343675047,366.3872726256154,384.37492219290215,277.92724352668085,1758.3649102368904
ExperimentHeadStill,SQUARED_AND_INTERACTIONS,ridge,{'alpha': 0.01},14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,751.7919329585097,477.78339275518704,660.4565358191927,100.69143931113801,3357.011000025075,319.35198212214175,916.6165609226664,543.319413681767,369.57416259659726,443.5313213073392,266.81275311741354,1650.8786526723625
ExperimentHeadStill,SQUARED_AND_INTERACTIONS,linear,,14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,779.6348573641837,481.81781100936547,760.0358090148391,95.15695057905347,4245.511708866191,317.93230584944865,923.5213267034931,544.400403336574,368.5543799541462,471.71005668734574,245.9101601749864,1699.4995628681725
ExperimentHeadStill,SQUARED_AND_INTERACTIONS,mlp,"{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'solver': 'adam', 'alpha': 1.0, 'learning_rate_init': 0.001, 'max_iter': 2000}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,805.5280091046204,484.5169609666418,810.0677985039606,114.07016955064245,3443.1489390195375,292.28986657485274,817.4589647810061,711.1155123022029,366.4403945647459,290.6335082211384,241.57070315793655,2226.7281207505366
ExperimentHeadStill,SQUARED_AND_INTERACTIONS,mlp,"{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.01, 'learning_rate_init': 0.001, 'max_iter': 2000}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,993.5402944139985,612.7586469017903,1155.56161885651,22.033112309520337,5968.240489445153,352.2780145427889,1022.0518633106822,853.6116308813603,512.7345070713761,418.62785001527004,302.8052055108021,2566.254975680414
ExperimentHeadStill,SQUARED_AND_INTERACTIONS,mlp,"{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.1, 'learning_rate_init': 0.001, 'max_iter': 2000}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,994.4855858431703,599.6055266033632,1157.5591608783711,25.025000952780424,5858.13774400512,336.22083676350945,1024.2329480359233,858.3053509644517,504.5721715089176,410.68933415921674,274.51368973742314,2671.9163836616003
ExperimentHeadStill,SQUARED_AND_INTERACTIONS,mlp,"{'hidden_layer_sizes': (32,), 'activation': 'relu', 'solver': 'adam', 'alpha': 1.0, 'learning_rate_init': 0.001, 'max_iter': 2000}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,1350.3624870259914,624.5934997367799,1809.5590002128952,84.25817196706389,8914.833556978023,413.520926561474,1105.3449401368466,1187.447690620605,528.0644803623074,570.1665988476059,238.96234537089197,3830.719680411387
ExperimentHeadStill,SQUARED_AND_INTERACTIONS,mlp,"{'hidden_layer_sizes': (32,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.1, 'learning_rate_init': 0.001, 'max_iter': 2000}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,1723.3705422309451,842.9810267211012,2139.0880651813977,173.57638304528226,8809.817765878672,518.819164030653,1320.176621636471,1618.5029259918188,766.1504233160654,443.00609390418873,279.7853684616407,5272.976311380867
ExperimentHeadStill,SQUARED_AND_INTERACTIONS,mlp,"{'hidden_layer_sizes': (32,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.01, 'learning_rate_init': 0.001, 'max_iter': 2000}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,1724.406398671912,846.2476369117502,2138.0452945445254,167.60811436487026,8824.228277599103,521.9396783839827,1317.4636598119537,1621.5724119722424,765.7384609172323,430.88969124733046,277.19889314190596,5252.479531800688
ExperimentHeadStill,SQUARED_AND_INTERACTIONS,polynomial_ridge,"{'degree': 2, 'alpha': 1.0}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,8496.563329685709,531.6169399897636,27009.851294002085,53.303563588921755,159855.32748480613,364.4080913950738,1136.49442279925,4157.9464825179475,396.3183222230742,7289.446011192118,307.21992584946474,14756.888012533853
ExperimentHeadStill,SQUARED_AND_INTERACTIONS,polynomial_ridge,"{'degree': 2, 'alpha': 0.1}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,12061.398373170117,538.8283553397639,40091.52757593465,64.8574058173811,253061.9552087055,402.30597449698,1246.8104479817584,9255.998079107412,405.1051801715069,7013.2669148673085,317.90291096446066,20856.162083881074
ExperimentHeadStill,SQUARED_AND_INTERACTIONS,polynomial_ridge,"{'degree': 2, 'alpha': 0.01}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,12685.944046811468,590.9927969959199,40894.888674983165,62.63189556849571,257734.87869812475,391.28825103153713,1250.9203612908946,9328.40379807131,422.6495157226303,7209.898038133625,335.0226499287604,25271.241590632228
