head_condition:,leftdx,leftdy,rightdx,rightdy,face_center_x,face_center_y,face_width,face_height,face_yaw,face_pitch,face_roll,dot_x,dot_y
UP,0.43411627411842346,0.44031864404678345,0.5475141406059265,0.4459991753101349,0.4907431185245514,0.5177599310874939,0.2568836510181427,0.40477365255355835,0.019823518185620306,-0.0421480715213942,0.04314463928964389,0.940625,0.19375
DOWN,0.42693647742271423,0.5669179558753967,0.5494744181632996,0.5626010894775391,0.4877564013004303,0.6304526627063751,0.2673422396183014,0.40962645411491394,0.02781785040929079,0.11763907076597717,0.04359429216508094,0.940625,0.19375
CENTER,0.4138571619987488,0.4996528625488281,0.533145546913147,0.4986548125743866,0.4765834391117096,0.570695960521698,0.26571786403656006,0.4283956289291382,-0.02873953063320238,0.05002194152285021,0.02082080918738444,0.1265625,0.9354166666666667
LEFT,0.3560810089111328,0.5085760354995728,0.4625322222709656,0.5001122355461121,0.41807055473327637,0.5743677020072937,0.2339608371257782,0.42213118076324463,-0.3907870314758835,0.044447434732722356,0.07969808366785139,0.1265625,0.9354166666666667
RIGHT,0.493569552898407,0.5020157694816589,0.6006101369857788,0.509449303150177,0.5403684437274933,0.5747969150543213,0.24688485264778137,0.4247738718986511,0.2816704109967056,0.05450182368035576,0.05294251115942764,0.1265625,0.9354166666666667
UP,0.4350678026676178,0.45207759737968445,0.550331711769104,0.4592307209968567,0.49278552532196046,0.52821004986763,0.2588386833667755,0.40755710005760193,0.0010559936259273695,-0.036175645122569836,0.05374581910301554,0.1265625,0.9354166666666667
DOWN,0.4216034412384033,0.5896061658859253,0.5484663248062134,0.585774302482605,0.48527429103851316,0.6519690752029419,0.27159130573272705,0.40380996465682983,0.0038452371599013812,0.14770878343840643,0.04458190485784557,0.1265625,0.9354166666666667
CENTER,0.4391823410987854,0.4680975675582886,0.5544942617416382,0.4736672639846802,0.4909022510051727,0.5452232182025909,0.26224207878112793,0.42669424414634705,0.02631229640620298,0.0075545052157561495,0.03622165079176846,0.8125,0.23125
LEFT,0.3552037477493286,0.4857364594936371,0.46287304162979126,0.4773969352245331,0.40897114872932433,0.5566094398498536,0.23089423775672913,0.4207698106765747,-0.42870458630336783,0.02084215733298807,0.07282116508485756,0.8125,0.23125
RIGHT,0.5117329359054565,0.4847782254219055,0.6116183996200562,0.4994214177131653,0.5565347611904145,0.5622936367988587,0.23656579852104187,0.4127594828605652,0.39361930230059067,0.018189648885805033,0.14133968622092752,0.8125,0.23125
