dataset,ablation,model,model_parameters,num_features,features,train_samples,test_samples,mean_pixel_error,median_pixel_error,std_pixel_error,min_pixel_error,max_pixel_error,q25_pixel_error,q75_pixel_error,mean_x_error_pixels,median_x_error_pixels,mean_y_error_pixels,median_y_error_pixels,p90_pixel_error
ExperimentHeadMovement,SQUARED_AND_INTERACTIONS,gradient_boosting,"{'n_estimators': 300, 'learning_rate': 0.001, 'max_depth': 10, 'min_samples_leaf': 5}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,671.6205428075284,653.7688043595026,211.60665965772506,146.61184405737907,1134.0462547965355,528.7730385767368,835.9548390027139,566.2258036275744,600.7879972557791,286.13022114308745,250.56271225870375,957.828905057317
ExperimentHeadMovement,SQUARED_AND_INTERACTIONS,gradient_boosting,"{'n_estimators': 300, 'learning_rate': 0.001, 'max_depth': 5, 'min_samples_leaf': 3}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,672.0314811717114,656.5702718323217,213.9845483558679,170.47533905411606,1127.7485794753177,532.869873370802,826.8755787833998,568.3307344237351,602.254060548855,283.52563605135265,254.4865618328218,988.1197910620502
ExperimentHeadMovement,SQUARED_AND_INTERACTIONS,gradient_boosting,"{'n_estimators': 300, 'learning_rate': 0.001, 'max_depth': 5, 'min_samples_leaf': 5}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,672.1338916947468,654.9325090132254,211.05879078616445,171.150118683052,1134.116540599714,540.5862474638209,831.2827000945501,568.1760466279786,597.8528560441773,283.74549834848966,266.2487306451111,972.9426518694335
ExperimentHeadMovement,SQUARED_AND_INTERACTIONS,decision_tree,"{'max_depth': 5, 'min_samples_leaf': 5}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,672.5079413843506,602.604567053987,354.69859522417005,62.75947159999232,1758.7297484619403,371.3213190326811,940.3945549070916,544.4893280602146,483.3461538461538,301.38185830866564,247.8270609318996,1186.6578086734758
ExperimentHeadMovement,SQUARED_AND_INTERACTIONS,decision_tree,"{'max_depth': 5, 'min_samples_leaf': 3}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,674.0750227147043,602.604567053987,355.1710898537617,62.75947159999232,1758.7297484619403,369.15500524677464,923.6814007893647,548.3327258111511,497.25,298.0351172708023,240.97222222222223,1187.5978390309504
ExperimentHeadMovement,SQUARED_AND_INTERACTIONS,polynomial_ridge,"{'degree': 2, 'alpha': 0.1}",14,"avg_iris_rel_face_x_norm, avg_iris_rel_face_y_norm, face_yaw, face_pitch, face_roll, yaw_avg_iris_x_interaction, pitch_avg_iris_y_interaction, roll_avg_iris_x_interaction, roll_avg_iris_y_interaction, yaw_squared, pitch_squared, roll_squared, avg_iris_rel_face_x_norm_squared, avg_iris_rel_face_y_norm_squared",400,100,680.1977178762339,583.1105755428762,467.3579017270194,65.49840571600075,2994.3113759593502,413.4513022616577,852.3932426723685,564.9919419648297,494.41058575823575,291.8067221908383,233.1142268587609,1145.5904521150885
ExperimentHeadMovement,RELATIVE_IRIS_TO_FACE,knn,"{'n_neighbors': 10, 'weights': 'distance'}",4,"left_iris_rel_face_x, left_iris_rel_face_y, right_iris_rel_face_x, right_iris_rel_face_y",400,100,680.7003708606609,633.1593840937339,320.09271706203356,69.5691016814673,1629.547378901765,438.34590751349316,879.5586439891115,580.4682336115029,518.4045424500696,291.051080138149,270.22104289086576,1085.012430609013
ExperimentHeadMovement,RELATIVE_IRIS_TO_FACE,linear,,4,"left_iris_rel_face_x, left_iris_rel_face_y, right_iris_rel_face_x, right_iris_rel_face_y",400,100,686.8802679524687,599.3002980448351,340.9987143379895,110.28364097181824,2088.0642841343047,468.9677106425869,888.3876160793191,588.9500428109944,520.084176888055,277.0786363688748,278.2780010356397,1086.7727374478375
ExperimentHeadMovement,RELATIVE_IRIS_TO_FACE,ridge,{'alpha': 0.01},4,"left_iris_rel_face_x, left_iris_rel_face_y, right_iris_rel_face_x, right_iris_rel_face_y",400,100,686.8828248468969,599.3099390222678,340.98696557894846,110.24204610199753,2087.9754970329177,468.9759053704972,888.4050618270112,588.9538771559852,520.1065047990385,277.078707977652,278.27744045752877,1086.7416534279364
ExperimentHeadMovement,RELATIVE_IRIS_TO_FACE,ridge,{'alpha': 0.1},4,"left_iris_rel_face_x, left_iris_rel_face_y, right_iris_rel_face_x, right_iris_rel_face_y",400,100,686.9058156962064,599.3966199432007,340.8813763004372,109.86826138527402,2087.1772843126337,469.04955889441885,888.5618224880363,588.9883364599032,520.3072134483084,277.07935220961974,278.27238405595415,1086.4622484313863
